game_location,game_season,discipline_title,event_gender,medal_type,participant_type,country_name
Japan,Summer,Shooting,Mixed,GOLD,GameTeam,Spain
Japan,Summer,Shooting,Mixed,GOLD,GameTeam,Spain
Japan,Summer,Shooting,Mixed,SILVER,GameTeam,San Marino
Japan,Summer,Shooting,Mixed,SILVER,GameTeam,San Marino
Japan,Summer,Shooting,Mixed,BRONZE,GameTeam,United States of America
Japan,Summer,Shooting,Mixed,BRONZE,GameTeam,United States of America
Japan,Summer,Shooting,Women,SILVER,Athlete,ROC
Japan,Summer,Shooting,Women,BRONZE,Athlete,ROC
Japan,Summer,Shooting,Women,GOLD,Athlete,Switzerland
Japan,Summer,Shooting,Men,BRONZE,Athlete,Serbia
Japan,Summer,Shooting,Men,SILVER,Athlete,ROC
Japan,Summer,Shooting,Men,GOLD,Athlete,People's Republic of China
Japan,Summer,Shooting,Men,GOLD,Athlete,France
Japan,Summer,Shooting,Men,SILVER,Athlete,Cuba
Japan,Summer,Shooting,Men,BRONZE,Athlete,People's Republic of China
Japan,Summer,Shooting,Men,SILVER,Athlete,People's Republic of China
Japan,Summer,Shooting,Men,GOLD,Athlete,United States of America
Japan,Summer,Shooting,Men,BRONZE,Athlete,People's Republic of China
Japan,Summer,Shooting,Women,SILVER,Athlete,ROC
Japan,Summer,Shooting,Women,BRONZE,Athlete,Switzerland
Japan,Summer,Shooting,Women,GOLD,Athlete,People's Republic of China
Japan,Summer,Shooting,Men,GOLD,Athlete,Czech Republic
Japan,Summer,Shooting,Men,SILVER,Athlete,Czech Republic
Japan,Summer,Shooting,Men,BRONZE,Athlete,Great Britain
Japan,Summer,Shooting,Women,SILVER,Athlete,Italy
Japan,Summer,Shooting,Women,GOLD,Athlete,United States of America
Japan,Summer,Shooting,Women,BRONZE,Athlete,People's Republic of China
Japan,Summer,Shooting,Women,GOLD,Athlete,Slovakia
Japan,Summer,Shooting,Women,BRONZE,Athlete,San Marino
Japan,Summer,Shooting,Women,SILVER,Athlete,United States of America
Japan,Summer,Shooting,Women,BRONZE,Athlete,People's Republic of China
Japan,Summer,Shooting,Women,GOLD,Athlete,ROC
Japan,Summer,Shooting,Women,SILVER,Athlete,Bulgaria
Japan,Summer,Shooting,Mixed,GOLD,GameTeam,People's Republic of China
Japan,Summer,Shooting,Mixed,GOLD,GameTeam,People's Republic of China
Japan,Summer,Shooting,Mixed,SILVER,GameTeam,United States of America
Japan,Summer,Shooting,Mixed,SILVER,GameTeam,United States of America
Japan,Summer,Shooting,Women,BRONZE,Athlete,People's Republic of China
Japan,Summer,Shooting,Women,GOLD,Athlete,ROC
Japan,Summer,Shooting,Women,SILVER,Athlete,Republic of Korea
Japan,Summer,Shooting,Men,SILVER,Athlete,Serbia
Japan,Summer,Shooting,Men,GOLD,Athlete,Islamic Republic of Iran
Japan,Summer,Shooting,Men,BRONZE,Athlete,People's Republic of China
Japan,Summer,Shooting,Mixed,GOLD,GameTeam,People's Republic of China
Japan,Summer,Shooting,Mixed,GOLD,GameTeam,People's Republic of China
Japan,Summer,Shooting,Mixed,SILVER,GameTeam,ROC
Japan,Summer,Shooting,Mixed,SILVER,GameTeam,ROC
Japan,Summer,Shooting,Mixed,BRONZE,GameTeam,Ukraine
Japan,Summer,Shooting,Mixed,BRONZE,GameTeam,Ukraine
Japan,Summer,Shooting,Men,BRONZE,Athlete,Kuwait
Japan,Summer,Shooting,Men,SILVER,Athlete,Denmark
Japan,Summer,Shooting,Men,GOLD,Athlete,United States of America
Japan,Summer,Diving,Men,GOLD,GameTeam,People's Republic of China
Japan,Summer,Diving,Men,GOLD,GameTeam,People's Republic of China
Japan,Summer,Diving,Men,SILVER,GameTeam,United States of America
Japan,Summer,Diving,Men,SILVER,GameTeam,United States of America
Japan,Summer,Diving,Men,BRONZE,GameTeam,Germany
Japan,Summer,Diving,Men,BRONZE,GameTeam,Germany
Japan,Summer,Diving,Women,GOLD,GameTeam,People's Republic of China
Japan,Summer,Diving,Women,GOLD,GameTeam,People's Republic of China
Japan,Summer,Diving,Women,SILVER,GameTeam,Canada
Japan,Summer,Diving,Women,SILVER,GameTeam,Canada
Japan,Summer,Diving,Women,BRONZE,GameTeam,Germany
Japan,Summer,Diving,Women,BRONZE,GameTeam,Germany
Japan,Summer,Diving,Men,GOLD,GameTeam,Great Britain
Japan,Summer,Diving,Men,GOLD,GameTeam,Great Britain
Japan,Summer,Diving,Men,SILVER,GameTeam,People's Republic of China
Japan,Summer,Diving,Men,SILVER,GameTeam,People's Republic of China
Japan,Summer,Diving,Men,BRONZE,GameTeam,ROC
Japan,Summer,Diving,Men,BRONZE,GameTeam,ROC
Japan,Summer,Diving,Men,GOLD,Athlete,People's Republic of China
Japan,Summer,Diving,Men,BRONZE,Athlete,Great Britain
Japan,Summer,Diving,Men,SILVER,Athlete,People's Republic of China
Japan,Summer,Diving,Women,GOLD,GameTeam,People's Republic of China
Japan,Summer,Diving,Women,GOLD,GameTeam,People's Republic of China
Japan,Summer,Diving,Women,SILVER,GameTeam,United States of America
Japan,Summer,Diving,Women,SILVER,GameTeam,United States of America
Japan,Summer,Diving,Women,BRONZE,GameTeam,Mexico
Japan,Summer,Diving,Women,BRONZE,GameTeam,Mexico
Japan,Summer,Diving,Women,BRONZE,Athlete,Australia
Japan,Summer,Diving,Women,GOLD,Athlete,People's Republic of China
Japan,Summer,Diving,Women,SILVER,Athlete,People's Republic of China
Japan,Summer,Diving,Men,BRONZE,Athlete,Great Britain
