,game_location,game_season,game_year,discipline_title,event_gender,medal_type,participant_type,country_name,country_3_letter_code,year,population,gdp
0,Japan,Summer,2020,Shooting,Mixed,GOLD,GameTeam,Spain,ESP,2020.0,47351567.0,1281484640043.58
1,Japan,Summer,2020,Shooting,Mixed,GOLD,GameTeam,Spain,ESP,2020.0,47351567.0,1281484640043.58
4,Japan,Summer,2020,Shooting,Mixed,BRONZE,GameTeam,United States of America,USA,2020.0,329484123.0,20953030000000.0
5,Japan,Summer,2020,Shooting,Mixed,BRONZE,GameTeam,United States of America,USA,2020.0,329484123.0,20953030000000.0
9,Japan,Summer,2020,Shooting,Men,BRONZE,Athlete,Serbia,SRB,2020.0,6908224.0,53335016425.4148
11,Japan,Summer,2020,Shooting,Men,GOLD,Athlete,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
12,Japan,Summer,2020,Shooting,Men,GOLD,Athlete,France,FRA,2020.0,67391582.0,2630317731455.26
13,Japan,Summer,2020,Shooting,Men,SILVER,Athlete,Cuba,CUB,2020.0,11326616.0,107352000000.0
14,Japan,Summer,2020,Shooting,Men,BRONZE,Athlete,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
15,Japan,Summer,2020,Shooting,Men,SILVER,Athlete,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
16,Japan,Summer,2020,Shooting,Men,GOLD,Athlete,United States of America,USA,2020.0,329484123.0,20953030000000.0
17,Japan,Summer,2020,Shooting,Men,BRONZE,Athlete,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
20,Japan,Summer,2020,Shooting,Women,GOLD,Athlete,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
21,Japan,Summer,2020,Shooting,Men,GOLD,Athlete,Czech Republic,CZE,2020.0,10698896.0,245339322066.759
22,Japan,Summer,2020,Shooting,Men,SILVER,Athlete,Czech Republic,CZE,2020.0,10698896.0,245339322066.759
23,Japan,Summer,2020,Shooting,Men,BRONZE,Athlete,Great Britain,GBR,2020.0,67215293.0,2759804061837.07
24,Japan,Summer,2020,Shooting,Women,SILVER,Athlete,Italy,ITA,2020.0,59554023.0,1888709443687.48
25,Japan,Summer,2020,Shooting,Women,GOLD,Athlete,United States of America,USA,2020.0,329484123.0,20953030000000.0
26,Japan,Summer,2020,Shooting,Women,BRONZE,Athlete,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
27,Japan,Summer,2020,Shooting,Women,GOLD,Athlete,Slovakia,SVK,2020.0,5458827.0,105172564491.569
29,Japan,Summer,2020,Shooting,Women,SILVER,Athlete,United States of America,USA,2020.0,329484123.0,20953030000000.0
30,Japan,Summer,2020,Shooting,Women,BRONZE,Athlete,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
33,Japan,Summer,2020,Shooting,Mixed,GOLD,GameTeam,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
34,Japan,Summer,2020,Shooting,Mixed,GOLD,GameTeam,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
35,Japan,Summer,2020,Shooting,Mixed,SILVER,GameTeam,United States of America,USA,2020.0,329484123.0,20953030000000.0
36,Japan,Summer,2020,Shooting,Mixed,SILVER,GameTeam,United States of America,USA,2020.0,329484123.0,20953030000000.0
37,Japan,Summer,2020,Shooting,Women,BRONZE,Athlete,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
39,Japan,Summer,2020,Shooting,Women,SILVER,Athlete,Republic of Korea,KOR,2020.0,51780579.0,1637895802792.9
40,Japan,Summer,2020,Shooting,Men,SILVER,Athlete,Serbia,SRB,2020.0,6908224.0,53335016425.4148
42,Japan,Summer,2020,Shooting,Men,BRONZE,Athlete,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
43,Japan,Summer,2020,Shooting,Mixed,GOLD,GameTeam,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
44,Japan,Summer,2020,Shooting,Mixed,GOLD,GameTeam,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
47,Japan,Summer,2020,Shooting,Mixed,BRONZE,GameTeam,Ukraine,UKR,2020.0,44134693.0,155498989149.587
48,Japan,Summer,2020,Shooting,Mixed,BRONZE,GameTeam,Ukraine,UKR,2020.0,44134693.0,155498989149.587
51,Japan,Summer,2020,Shooting,Men,GOLD,Athlete,United States of America,USA,2020.0,329484123.0,20953030000000.0
52,Japan,Summer,2020,Diving,Men,GOLD,GameTeam,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
53,Japan,Summer,2020,Diving,Men,GOLD,GameTeam,People's Republic of China,CHN,2020.0,1410929362.0,14722730697890.1
