discipline_title,slug_game,event_title,event_gender,medal_type,participant_type,country_name,country_code,country_3_letter_code
Shooting,tokyo-2020,Trap Mixed Team,Mixed,GOLD,GameTeam,Spain,ES,ESP
Shooting,tokyo-2020,Trap Mixed Team,Mixed,GOLD,GameTeam,Spain,ES,ESP
Shooting,tokyo-2020,Trap Mixed Team,Mixed,SILVER,GameTeam,San Marino,SM,SMR
Shooting,tokyo-2020,Trap Mixed Team,Mixed,SILVER,GameTeam,San Marino,SM,SMR
Shooting,tokyo-2020,Trap Mixed Team,Mixed,BRONZE,GameTeam,United States of America,US,USA
Shooting,tokyo-2020,Trap Mixed Team,Mixed,BRONZE,GameTeam,United States of America,US,USA
Shooting,tokyo-2020,50m Rifle 3 Positions women,Women,SILVER,Athlete,ROC,ROC,ROC
Shooting,tokyo-2020,50m Rifle 3 Positions women,Women,BRONZE,Athlete,ROC,ROC,ROC
Shooting,tokyo-2020,50m Rifle 3 Positions women,Women,GOLD,Athlete,Switzerland,CH,SUI
Shooting,tokyo-2020,50m Rifle 3 Positions Men,Men,BRONZE,Athlete,Serbia,RS,SRB
Shooting,tokyo-2020,50m Rifle 3 Positions Men,Men,SILVER,Athlete,ROC,ROC,ROC
Shooting,tokyo-2020,50m Rifle 3 Positions Men,Men,GOLD,Athlete,People's Republic of China,CN,CHN
Shooting,tokyo-2020,25m Rapid Fire Pistol Men,Men,GOLD,Athlete,France,FR,FRA
Shooting,tokyo-2020,25m Rapid Fire Pistol Men,Men,SILVER,Athlete,Cuba,CU,CUB
Shooting,tokyo-2020,25m Rapid Fire Pistol Men,Men,BRONZE,Athlete,People's Republic of China,CN,CHN
Shooting,tokyo-2020,10m Air Rifle Men,Men,SILVER,Athlete,People's Republic of China,CN,CHN
Shooting,tokyo-2020,10m Air Rifle Men,Men,GOLD,Athlete,United States of America,US,USA
Shooting,tokyo-2020,10m Air Rifle Men,Men,BRONZE,Athlete,People's Republic of China,CN,CHN
Shooting,tokyo-2020,10m Air Rifle women,Women,SILVER,Athlete,ROC,ROC,ROC
Shooting,tokyo-2020,10m Air Rifle women,Women,BRONZE,Athlete,Switzerland,CH,SUI
Shooting,tokyo-2020,10m Air Rifle women,Women,GOLD,Athlete,People's Republic of China,CN,CHN
Shooting,tokyo-2020,Trap Men,Men,GOLD,Athlete,Czech Republic,CZ,CZE
Shooting,tokyo-2020,Trap Men,Men,SILVER,Athlete,Czech Republic,CZ,CZE
Shooting,tokyo-2020,Trap Men,Men,BRONZE,Athlete,Great Britain,GB,GBR
Shooting,tokyo-2020,Skeet women,Women,SILVER,Athlete,Italy,IT,ITA
Shooting,tokyo-2020,Skeet women,Women,GOLD,Athlete,United States of America,US,USA
Shooting,tokyo-2020,Skeet women,Women,BRONZE,Athlete,People's Republic of China,CN,CHN
Shooting,tokyo-2020,Trap women,Women,GOLD,Athlete,Slovakia,SK,SVK
Shooting,tokyo-2020,Trap women,Women,BRONZE,Athlete,San Marino,SM,SMR
Shooting,tokyo-2020,Trap women,Women,SILVER,Athlete,United States of America,US,USA
Shooting,tokyo-2020,10m Air Pistol women,Women,BRONZE,Athlete,People's Republic of China,CN,CHN
Shooting,tokyo-2020,10m Air Pistol women,Women,GOLD,Athlete,ROC,ROC,ROC
Shooting,tokyo-2020,10m Air Pistol women,Women,SILVER,Athlete,Bulgaria,BG,BUL
Shooting,tokyo-2020,10m Air Rifle Mixed Team,Mixed,GOLD,GameTeam,People's Republic of China,CN,CHN
Shooting,tokyo-2020,10m Air Rifle Mixed Team,Mixed,GOLD,GameTeam,People's Republic of China,CN,CHN
Shooting,tokyo-2020,10m Air Rifle Mixed Team,Mixed,SILVER,GameTeam,United States of America,US,USA
Shooting,tokyo-2020,10m Air Rifle Mixed Team,Mixed,SILVER,GameTeam,United States of America,US,USA
Shooting,tokyo-2020,25m Pistol Women,Women,BRONZE,Athlete,People's Republic of China,CN,CHN
Shooting,tokyo-2020,25m Pistol Women,Women,GOLD,Athlete,ROC,ROC,ROC
Shooting,tokyo-2020,25m Pistol Women,Women,SILVER,Athlete,Republic of Korea,KR,KOR
